0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,,SO2 Concentration in µg/m3,,,,,,,
,,,,,,,,,,No. of,,,,,,,,,,
,,,,City/ Town/,,,,,,,,,Minimum,,,Maximum,,,,
,State / UT,,,,,,Location,,,monitoring,,,,,,,,,Annual,
,,,,Village,,,,,,,,,(24-hourly,,,(24-hourly,,,,
,,,,,,,,,,days,,,,,,,,,Average,
,,,,,,,,,,,,,average),,,average),,,,
,,,,,,,,,,,,,,,,,,,,
"Andhra
,,,,,,Pritampura,,,127,,,4,,,18,,,5,,
,,,,,,Shahadra,,,113,,,4,,,18,,,6,,
,,,,,,Shahzada Bagh,,,109,,,4,,,21,,,5,,
,,,,,,Siri Fort,,,113,,,4,,,16,,,5,,
,,,,,,"Town Hall, Ayurvedic Dispensary, Chandni
Chowk, Delhi",,,88,,,2,,,10,,,4,,
Goa,,,Amona,,,"Amona, Bicholim",,,105,,,9,,,12,,,11,,
,,,Assanora,,,"Assanora Junction, Bardez",,,104,,,9,,,12,,,11,,
,,,Bicholim,,,Bicholim,,,103,,,9,,,12,,,11,,
,,,Codli,,,"Codli Tisk, Ponda, Sanguem",,,103,,,9,,,12,,,10,,
,,,Cuncolim,,,Cuncolim,,,102,,,9,,,13,,,11,,
,,,Honda,,,"Honda Junction, Sattari",,,104,,,9,,,12,,,11,,
,,,Kundaim,,,Kundaim Industrial Estate,,,104,,,9,,,13,,,11,,
,,,Mapusa,,,Mapusa town,,,90,,,2,,,7,,,3,,
,,,Margao,,,Margao Town,,,102,,,9,,,13,,,11,,
,,,Mormugao,,,"Fire Brigade Station, Port Trust",,,68,,,2,,,8,,,3,,
,,,Panaji,,,"Old GSPCB premises, Patto",,,77,,,2,,,17,,,3,,
,,,Ponda,,,Ponda Town,,,105,,,9,,,12,,,11,,
,,,Sanguem,,,"Near Railway Station at Kalem, Sanguem",,,103,,,9,,,12,,,11,,
,,,Tilamol,,,"Quepem, Tilamol",,,102,,,10,,,13,,,11,,
,,,Tuem,,,Tuem Industrial Estate,,,104,,,9,,,13,,,11,,
,,,Usgao,,,"Usgao Plae, Junction, Ponda",,,96,,,9,,,12,,,11,,
,,,Vasco,,,"Fuse Call Office, Mormugao",,,88,,,2,,,11,,,3,,
Gujarat,,,Ahmedabad,,,"Naroda, G.I.D.C., Ahmadabad",,,87,,,14,,,33,,,19,,
,,,,,,Cadilla Bridge Narol,,,86,,,12,,,37,,,20,,
,,,,,,"Bhagavathi Estate, Keval Kanta Road,
Rakhiyal",,,88,,,12,,,35,,,20,,
,,,,,,"Reliable Products, 61/62 Ilaben
estate,PiranaDump Site,Narol (previous
Dyno Wash)",,,87,,,11,,,39,,,22,,
,,,,,,,,,,,,,SO2 Concentration in µg/m3,,,,,,,
,,,,,,,,,,No. of,,,,,,,,,,
,,,,City/ Town/,,,,,,,,,Minimum,,,Maximum,,,,
,State / UT,,,,,,Location,,,monitoring,,,,,,,,,Annual,
,,,,Village,,,,,,,,,(24-hourly,,,(24-hourly,,,,
,,,,,,,,,,days,,,,,,,,,Average,
,,,,,,,,,,,,,average),,,average),,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,L.D. Engg. College,,,88,,,14,,,33,,,20,,
,,,,,,"Shardaben Hospital, Saraspur",,,86,,,13,,,34,,,20,,
,,,,,,"R.C. Technical High School, Mirzapur",,,86,,,13,,,35,,,20,,
,,,,,,"AZL Behrampura, Ahmadabad",,,87,,,13,,,38,,,20,,
,,,,,,Sola L.T. Chanakyapuri Pumping Station,,,88,,,11,,,35,,,21,,
,,,Anklesvar,,,Rallis India Ltd.,,,88,,,13,,,36,,,20,,
,,,,,,"Durga Traders, Bhavanafarm Society",,,88,,,12,,,35,,,19,,
,,,Jamnagar,,,Fisheries Office,,,87,,,11,,,39,,,19,,
,,,Rajkot,,,Nr. Sardhara Industrial Corporation,,,87,,,13,,,36,,,21,,
,,,,,,GPCB Regional Offce,,,87,,,12,,,40,,,19,,
,,,Surat,,,S.V.R. Engg. College,,,87,,,12,,,45,,,23,,
,,,,,,"B.R.C. High School, Udhna",,,83,,,12,,,46,,,26,,
,,,,,,Near Air India Office,,,88,,,9,,,41,,,22,,
,,,Vadodara,,,"GPCB Office, Geri Vasahat",,,87,,,11,,,37,,,19,,
