0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"Madhya
Pradesh",Amlai,HJI,91,,,12,,,27,,,20,,
,,OPM,88,,,10,,,24,,,18,,
,Bhopal,"Hamidia Road, MP Hastshilp Vikas Nigam",91,,,2,,,24,,,4,,
,,CETP Govindpura,78,,,2,,,7,,,3,,
,,"Nutan Subhash School, T.T. Nagar",88,,,2,,,2,,,2,,
,,"Kolar Thana, Kolar Road, Bhopal",89,,,2,,,14,,,4,,
,,"AKVN Office, Industrial Area Mandideep,
Raisen",89,,,2,,,30,,,6,,
,,"Barkatuallah University, Hoshgabad Road,
Bhopal",86,,,2,,,17,,,4,,
,,"Main Road, Hemu Colony, Bairagarh, Bhopal",85,,,2,,,11,,,5,,
,Chhindwara,"HIG -33, Front of Geetanali Park Housing
Board Colony, Chadagaon",79,,,1,,,10,,,5,,
,,"Hindustan Unileaver, Narsinghpur Road,",84,,,2,,,11,,,5,,
,Dewas,EID Perry (I) Limited,87,,,10,,,19,,,15,,
,,Dewas Metal Section,101,,,8,,,17,,,14,,
,,Vikas Nagar,95,,,8,,,18,,,14,,
,Gwalior,Dindayal Nagar,98,,,5,,,15,,,10,,
,,Maharaj Bada,93,,,5,,,15,,,11,,
,Indore,"M.P. Laghu Udyog, Pologround",91,,,9,,,30,,,11,,
,,"Kothari Market, M.G. Road",89,,,9,,,34,,,11,,
,,"Telephone Nagar, 26 A, Kanadia Road",94,,,9,,,30,,,11,,
,Jabalpur,Vijay Nagar,101,,,2,,,12,,,2,,
,,Udaipur Beverage Racchai,99,,,11,,,27,,,18,,
,Katni,"HIG-4 Housing Board Colony Jhinjhri, Katni",100,,,3,,,19,,,12,,
,,"Calderys Works Refactories India Private
Limited, Guest House, Katni",102,,,2,,,23,,,12,,
,Nagda,Chem. D. Labour Club,100,,,15,,,36,,,25,,
,,B C I Labour Club,99,,,10,,,26,,,15,,
State,City,Location,,No. of monitoring,,,SO2 Concentration in µg/m3,,,,,,,
,,,,days,,,Minimum,,,Maximum,,,Annual average,
,,Grasim Kalyan Kendra,103,,,10,,,27,,,16,,
,Prithampur,"Vikas Bhavan, Sector-2",80,,,8,,,13,,,11,,
,,"RCC Over Head Tank No. 1, Sector-3",83,,,7,,,13,,,11,,
,Sagar,Pt.Deendayal Nagar,100,,,2,,,4,,,2,,
,,"Katra Bazar, Sagar",18,,,2,,,4,,,2,,
,Satna,Sub-divisional Office E/M Light Machniery,98,,,2,,,6,,,3,,
,,"MPPCB,Dharwari GaliNo.5,House No.318",103,,,2,,,5,,,3,,
,Singrauli,Jayant Township,94,,,11,,,56,,,25,,
,,"N.T.P.C., Vidyanagar",91,,,13,,,62,,,24,,
,,Waidhan,97,,,10,,,60,,,24,,
,Ujjain,District Office,82,,,11,,,19,,,15,,
,,Regional Office,91,,,6,,,15,,,11,,
,,Mahakal Temple,93,,,6,,,16,,,12,,
,,Chamunda Mata Chouraha,81,,,8,,,19,,,15,,
"Maharashtr
a",Akola,"LRT Commerce College, Civil Lines, Akola",94,,,6,,,11,,,9,,
,,"MIDC Water Work, Phash-II, MIDC Akola",95,,,8,,,12,,,10,,
,,"College Of Engineering & Tech, Akola",98,,,6,,,11,,,9,,
,Amravati,"Apurva Oil Industries, A-23, MIDC",77,,,8,,,16,,,12,,
,,"Elect. Dept., Govt College Engineering",87,,,8,,,15,,,12,,
,,"Rajkamal Square, Vaneeta Samaj",87,,,9,,,18,,,13,,
,Aurangabad,S.B.E.S. College,92,,,5,,,26,,,12,,
,,Collector Ofiice,100,,,5,,,17,,,9,,
,,"C.A.D.A. Ofiice, Garkheda",99,,,5,,,23,,,11,,
,Badlapur,BIWA Office,75,,,13,,,77,,,26,,
,Bhiwandi,"Prematai Hall, Near Dhamankar Naka",94,,,22,,,36,,,31,,
,,"Fire Brigade Office, I.G.M. Hospital",94,,,22,,,37,,,32,,
,,"Regional Office, M.P.C. Board, Kalyan",114,,,22,,,58,,,30,,
,Chandrapur,Grampanchat Ghughus,95,,,4,,,6,,,4,,
,,M.I.D.C. Chandrapur,91,,,4,,,5,,,4,,
,,Nagar Parishad,325,,,4,,,6,,,4,,
,,"Gadchandur Gram Panchayat, Rajura",97,,,4,,,8,,,4,,
,,"MIDC, Tadali",96,,,4,,,7,,,4,,
,,"Muncipal Council, Ballarshah",92,,,4,,,5,,,4,,
,"Dombivali/A
mbernath",Dombivali MIDC Phase-II,80,,,14,,,67,,,29,,
,,Ambernath Municipal Council Office,88,,,14,,,83,,,26,,
,Jalgaon,B. J. Market,103,,,10,,,17,,,13,,
,,Girna water tank,103,,,8,,,16,,,13,,
,,MIDC Jalgaon,104,,,9,,,17,,,14,,
,Jalna,"Bachat Bhawan, Near S P Office",92,,,6,,,15,,,9,,
,,"Krishidhan Seeds Ltd, MIDC Area",94,,,6,,,13,,,10,,
,Kolhapur,"University Campus, Shivaji University",89,,,8,,,17,,,13,,
,,"Ruikar Trust, S.T. Stand",92,,,14,,,40,,,29,,
,,"Mahadwar Road, Near Mahalaxmi Temple",89,,,12,,,33,,,22,,
,Latur,MIDC Water Works,94,,,4,,,8,,,5,,
,,Kshewraj Vidyalaya Shyam nagar,88,,,4,,,7,,,5,,
,,Sidhheshwar Sahakari Bank Ganjgolai,94,,,4,,,8,,,6,,
,Mumbai,"Parel TT, Ambedkar Road",88,,,2,,,15,,,3,,
,,Worli,87,,,2,,,14,,,3,,
,Nagpur,Institution of Engineers,96,,,7,,,18,,,10,,
,,"Govt. Polytechnic College, Sadar",94,,,7,,,15,,,10,,
,,MIDC Office Hingana Road,95,,,7,,,17,,,11,,
,,"MIDC Industrial Area, MIDC Office, Hingna",95,,,2,,,20,,,6,,
,,"Nagpur Coop Building, Maskasath, Itwari",100,,,2,,,22,,,7,,
,,"NEERI Lab, Nehru Marg, Highway No. 7",87,,,2,,,24,,,7,,
,,"MPCB Office Premises, Civil Lines",289,,,6,,,15,,,9,,
,Nanded,Ganesh Nagar,76,,,12,,,29,,,21,,
,,"Mutha Chowk, Vazirabad",78,,,18,,,41,,,34,,
,,"Industrial Area, MIDC, CIDCO",77,,,31,,,89,,,59,,
