0,1,2,3,4,5,6,7,8,9,10
,,Udaipur Beverage Racchai,10,,,17,,,13,
,Katni,"HIG-4 Housing Board Colony Jhinjhri, Katni",4,,,14,,,9,
,,"Calderys Works Refactories India Private Limited,
Guest House, Katni",7,,,14,,,9,
,Nagda,Chem. D. Labour Club,11,,,22,,,16,
,,B C I Labour Club,6,,,14,,,10,
,,Grasim Kalyan Kendra,5,,,19,,,11,
,Prithampur,"Vikas Bhavan, Sector-2",5,,,17,,,10,
,,"RCC Over Head Tank No. 1, Sector-3",7,,,15,,,10,
,Sagar,Pt.Deendayal Nagar,2,,,6,,,3,
,,"Katra Bazar, Sagar",2,,,5,,,3,
,Satna,Sub-divisional Office E/M Light Machniery,4,,,8,,,5,
,,"MPPCB,Dharwari GaliNo.5,House No.318",2,,,7,,,4,
,Singrauli,Jayant Township,15,,,59,,,29,
,,"N.T.P.C., Vidyanagar",14,,,53,,,30,
,,Waidhan,10,,,56,,,29,
,Ujjain,District Office,7,,,13,,,10,
,,Regional Office,5,,,13,,,8,
,,Mahakal Temple,7,,,20,,,10,
,,Chamunda Mata Chouraha,6,,,19,,,9,
Maharashtra,Akola,"LRT Commerce College, Civil Lines, Akola",7,,,15,,,12,
,,"MIDC Water Work, Phash-II, MIDC Akola",8,,,18,,,14,
,,"College Of Engineering & Tech, Akola",8,,,18,,,13,
,Ambernath,Ambernath Municipal Council Office,9,,,45,,,18,
,Amravati,"Apurva Oil Industries, A-23, MIDC",6,,,24,,,13,
,,"Elect. Dept., Govt College Engineering",5,,,16,,,11,
,,"Rajkamal Square, Vaneeta Samaj",8,,,21,,,14,
,Aurangabad,S.B.E.S. College,9,,,29,,,19,
,,Collector Ofiice,9,,,26,,,17,
,,"C.A.D.A. Ofiice, Garkheda",8,,,37,,,19,
,Badlapur,BIWA Office,8,,,30,,,18,
,Bhiwandi,"Prematai Hall, Near Dhamankar Naka",11,,,34,,,24,
,,"Fire Brigade Office, I.G.M. Hospital",12,,,37,,,29,
,,"Regional Office, M.P.C. Board, Kalyan",12,,,58,,,29,
,Chandrapur,Grampanchat Ghughus,4,,,5,,,4,
,,M.I.D.C. Chandrapur,4,,,6,,,4,
,,"Gadchandur Gram Panchayat, Rajura",4,,,5,,,4,
,,"MIDC, Tadali",4,,,5,,,4,
,,"Muncipal Council, Ballarshah",4,,,5,,,4,
,Dombivali,Dombivali MIDC Phase-II,10,,,40,,,21,
,Jalgaon,B. J. Market,8,,,16,,,11,
,,Girna water tank,8,,,16,,,11,
,,MIDC Jalgaon,8,,,15,,,11,
,Jalna,"Bachat Bhawan, Near S P Office",4,,,12,,,9,
,,"Krishidhan Seeds Ltd, MIDC Area",5,,,12,,,9,
,Kolhapur,"University Campus, Shivaji University",5,,,20,,,11,
,,"Ruikar Trust, S.T. Stand",11,,,40,,,24,
,,"Mahadwar Road, Near Mahalaxmi Temple",9,,,28,,,16,
,Nagpur,Institution of Engineers,4,,,21,,,9,
,,"Govt. Polytechnic College, Sadar",4,,,34,,,10,
,,MIDC Office Hingana Road,4,,,21,,,9,
,,"MPCB Office Premises, Civil Lines",4,,,22,,,8,
